OCCURRENCE_NAME,CLASS,STATE,COMMODITY_NAMES,LONGITUDE,LATITUDE
Unnamed,deposit,TAS,Nickel,145.3963,-42.4248
Unnamed,deposit,TAS,Coal - undifferentiated,145.4848,-41.1661
Kingsclere ,deposit,TAS,Magnetite,145.824,-41.2206
Illawong Plains 2,deposit,TAS,Zinc,144.8841,-40.7723
Redbank Road,deposit,TAS,Zinc,144.892,-40.8281
St Leonards,deposit,TAS,Coal - brown,147.2092,-41.4797
Carr Villa,deposit,TAS,Coal - brown,147.169,-41.4688
Hepburn Lewis Hiscox,deposit,TAS,Iron,145.5843,-42.2798
Investigator 13,deposit,TAS,Tungsten,143.9624,-39.6085
Forth River,deposit,TAS,Asbestos,146.2434,-41.2
Investigator 14,deposit,TAS,Titanium,144.0328,-39.65
Hebblethwaites Prospect,deposit,TAS,Pyrite,146.1141,-41.2522
Switchback,deposit,TAS,Lead,145.7166,-41.5915
Unnamed,deposit,TAS,Lead,145.5299,-41.7354
Farrell Mackintosh,deposit,TAS,Lead,145.6403,-41.732
Freemans Prospect,deposit,TAS,Tin,147.7983,-41.7988
Arched Rock,deposit,TAS,Coal - undifferentiated,147.3382,-43.4383
Unnamed,deposit,TAS,Coal - undifferentiated,147.3246,-43.4595
Arthur River Vein,deposit,TAS,Unspecified/Unknown,145.4736,-41.4561
Arthur River,deposit,TAS,Zinc,145.4862,-41.4302
Unnamed,deposit,TAS,Coal - undifferentiated,148.2597,-42.3278
Chester Siding,deposit,TAS,Pyrite,145.5553,-41.7121
Section 8944M,deposit,TAS,Lead,145.3015,-41.8563
Section 8948M,deposit,TAS,Lead,145.3096,-41.8586
Wells,deposit,TAS,Bauxite,145.5908,-40.959
Devils Elbow,deposit,TAS,Bauxite,145.5704,-40.9569
Mount Kerford,deposit,TAS,Tin,148.3632,-40.4385
Unnamed,deposit,TAS,Hematite,146.1903,-41.2478
South Prince Darwin,deposit,TAS,Iron,145.575,-42.2842
Cowens Section,deposit,TAS,Iron,145.5836,-42.2821
Section 3858,deposit,TAS,Barite,145.5918,-42.2774
Kelly Basin,deposit,TAS,Industrial mineral,145.8849,-43.2737
Unnamed,deposit,TAS,Lead,145.582,-42.3614
Unnamed,deposit,TAS,Tin,146.104,-41.497
Montagu Swamp,deposit,TAS,Chromium,144.8932,-40.9272
Southern Wolframite Lode,deposit,TAS,Tungsten,146.1197,-41.4876
Unnamed,deposit,TAS,Unspecified/Unknown,146.1199,-41.4862
Mount Claude Lookout,deposit,TAS,Iron,146.17,-41.4871
DDH 78GPC3,deposit,TAS,Lead,146.194,-41.4832
DDH 77GPC2,deposit,TAS,Lead,146.2048,-41.4851
DDH 77GPC1,deposit,TAS,Lead,146.206,-41.4851
DH PD84 CC9,deposit,TAS,Pyrite,146.1453,-41.4699
DDH MTJD18,deposit,TAS,Zinc,146.0568,-41.4641
Unnamed,deposit,TAS,Lead,146.0557,-41.4626
Unnamed,deposit,TAS,Lead,146.0345,-41.4545
Pearson and Burt,deposit,TAS,Lead,146.0394,-41.487
Unnamed,deposit,TAS,Lead,145.5643,-41.7269
Lea River Area,deposit,TAS,Uranium,145.9762,-41.502
Unnamed,deposit,TAS,Coal - undifferentiated,145.9471,-41.7136
Unnamed,deposit,TAS,Tin,145.1301,-41.8384
Streanstalh,deposit,TAS,Bauxite,147.3322,-41.8942
Charlies Quarry,deposit,TAS,Bauxite,147.2718,-41.4679
Unnamed,deposit,TAS,Lead,145.2972,-41.8337
Argent Tunnel,deposit,TAS,Lead,145.4125,-41.8277
Unnamed,deposit,TAS,Zinc,145.4429,-41.8117
Langloh,deposit,TAS,Coal - undifferentiated,146.7924,-42.538
Rhodes Creek,deposit,TAS,Tin,148.3842,-40.4301
Gipps Creek,deposit,TAS,Tin,147.6413,-41.6553
Wattle Bank target 1,deposit,TAS,Bauxite,146.6214,-41.4961
Wattle Bank target 2,deposit,TAS,Bauxite,146.631,-41.4979
Wattle Bank target 3,deposit,TAS,Bauxite,146.6346,-41.4988
Quamby View target 1,deposit,TAS,Bauxite,146.6871,-41.5485
Quamby View target 2,deposit,TAS,Bauxite,146.6883,-41.5449
Quamby View target 3,deposit,TAS,Bauxite,146.6847,-41.5449
Quamby View target 4,deposit,TAS,Bauxite,146.6967,-41.5396
Quamby View target 5,deposit,TAS,Bauxite,146.6799,-41.5368
DH E,deposit,TAS,Coal - brown,146.7517,-42.5113
Long Island,deposit,TAS,Tin,148.0024,-40.3638
Redwater Granite Anomaly,deposit,TAS,Tin,145.9464,-41.279
Unnamed,deposit,TAS,Iron,145.5924,-42.243
DDH DR10,deposit,TAS,Tin,146.0501,-41.1807
Gorgey Creek,deposit,TAS,Zinc,145.2338,-40.9798
Unnamed,deposit,TAS,Bauxite,146.6117,-41.5358
Unnamed,deposit,TAS,Bauxite,147.3057,-41.5145
Fordon West,deposit,TAS,Bauxite,147.4197,-41.7156
Rose Rivulet,deposit,TAS,Coal - brown,147.2711,-41.5452
Unnamed,deposit,TAS,Limestone,147.1373,-42.3752
Champion Road North,deposit,TAS,Silica,145.4312,-41.1272
Davis,deposit,TAS,Ochre,145.1794,-40.8826
Black River,deposit,TAS,Limestone,145.299,-40.8466
Black River Silica,deposit,TAS,Silica,145.3049,-40.8484
Section 9349m South,deposit,TAS,Lead,145.2952,-41.8564
Section 9351M,deposit,TAS,Lead,145.2924,-41.8572
Maucherite,deposit,TAS,Nickel,145.2479,-41.9197
Kent Bay,deposit,TAS,Tin,148.3341,-40.4613
Blackwood South,deposit,TAS,Bauxite,146.7779,-41.5017
Camp Creek,deposit,TAS,Peat,143.8538,-39.9218
GLEN OSMOND NO.3,deposit,SA,Slate,138.6446,-34.9707
GOONDOOLO,deposit,SA,Calcite,139.6643,-34.8678
LONG HILL CREEK,MINE,SA,Lead,139.0963,-34.2199
LAKE STEVENSON,deposit,SA,Attapulgite,134.0087,-29.6404
Tanners Bay,deposit,TAS,Gemstones,147.8669,-39.8982
SA ARSENIC MINING CO.,MINE,SA,Arsenic,139.028,-35.1171
LANE AND OPIES,deposit,SA,Limestone,139.3267,-35.0808
LADY KATHERINE,deposit,SA,Wollastonite,139.8384,-32.0493
SALTERS PENRICE,MINE,SA,Phosphate,139.04,-34.4886
CRITTENDEN,MINE,SA,"Clay, Barite",139.1549,-34.3372
TRURO PROSPECTING,MINE,SA,Lead,139.2242,-34.3806
D. KING,MINE,SA,Talc,139.1145,-34.3955
TRURO BARYTES,MINE,SA,Barite,139.0739,-34.3972
PARA RIVER,MINE,SA,Phosphate,139.0871,-34.4838
ST KITTS NE,MINE,SA,Barite,139.0997,-34.3404
ST KITTS,MINE,SA,Phosphate,139.0887,-34.3776
RICES,MINE,SA,"Phosphate, Iron ore",139.1563,-34.3061
PATCHINGS,MINE,SA,Phosphate,139.0642,-34.4774
LINKES ANSELLS,MINE,SA,Barite,139.0919,-34.2766
JOES HILL,MINE,SA,"Talc, Magnesite",139.1139,-34.373
MOUNT HOWDEN,MINE,SA,"Cobalt, Arsenic, Nickel",140.1967,-31.9265
DOME ROCK,DEPOSIT,SA,Barite,140.441,-31.875
RISDEN PARK,deposit,SA,Sand - undifferentiated,138.0228,-33.2163
LEENDERS CHAFFEY,deposit,SA,Sand - undifferentiated,140.6605,-34.0915
NITSCHKES,deposit,SA,Sand - undifferentiated,138.6026,-35.3628
QUEEN MARY,MINE,SA,Tungsten,138.3823,-35.5831
GABA TEPE,MINE,SA,Tungsten,138.3813,-35.5846
MCPHARLIN,deposit,SA,Sand - undifferentiated,138.4821,-34.1244
WATCHBOX HILL,deposit,SA,Quartzite,139.1774,-34.1406
MOUNT LIVINGSTON,deposit,SA,"Magnesite, Ochre",139.4524,-29.995
TEATREE,MINE,SA,Barite,139.2879,-30.8628
BENTLEY GREENWOOD,MINE,SA,"Uranium, Uranium oxide",139.3789,-30.2177
CORRUGA,deposit,SA,Tungsten,141.3973,-31.9093
Investigator 19,deposit,TAS,Lead,143.9014,-39.7301
OD NO.3,deposit,SA,Limestone,136.8336,-30.458
OD NO.4,deposit,SA,Limestone,136.8985,-30.4468
OD NO.5,deposit,SA,Limestone,136.9139,-30.4306
JUBILEE,deposit,SA,"Uranium oxide, Uranium",138.7099,-29.5038
IRON SULTAN,deposit,SA,Iron,137.1171,-33.0291
PIPALYATJARA CREEK,deposit,SA,Calcite,129.1189,-26.1775
BRUKUNGA,MINE,SA,Sulphur,138.9356,-35.0084
NIPPON HILL,deposit,SA,Iron,140.5831,-32.4196
RED DAM,deposit,SA,Iron,140.6455,-32.5241
HICKS,MINE,SA,Asbestos,139.1133,-34.3954
GREENS KOONUNGA,MINE,SA,Phosphate,139.0034,-34.3725
FIELKES,MINE,SA,"Phosphate, Limestone",139.1293,-34.3754
BELVIDERE,MINE,SA,Barite,139.071,-34.4083
BARTSCHS,MINE,SA,Phosphate,139.1103,-34.4475
ARCADY,MINE,SA,"Iron ore, Ironstone",139.0419,-34.4903
PATAWARTA,deposit,SA,Barite,138.6623,-30.9561
LINDSAY PARK,MINE,SA,Phosphate,139.0755,-34.5177
BLACK POINT,deposit,SA,Silica sand,137.8999,-34.6177
MOUNT RAT,deposit,SA,"Shale, Calcite",137.6506,-34.6254
WASHER HOLE NO.1,deposit,SA,Asbestos,139.1396,-33.8914
DEAD DOG,deposit,SA,Asbestos,139.1452,-33.8958
Andersons Creek,deposit,TAS,Talc,146.7747,-41.2165
Unnamed,deposit,TAS,Unspecified/Unknown,146.4002,-41.4881
Magog,deposit,TAS,Unspecified/Unknown,146.5109,-41.5228
Lobster Rivulet,deposit,TAS,Unspecified/Unknown,146.5207,-41.5265
Unnamed,deposit,TAS,Unspecified/Unknown,146.4873,-41.5056
Norton-Tattersall,deposit,TAS,Unspecified/Unknown,145.8866,-41.1771
Unnamed,deposit,TAS,Coal - undifferentiated,146.0522,-41.8866
Unnamed,deposit,TAS,Coal - undifferentiated,146.1049,-41.9064
Unnamed,deposit,TAS,Coal - undifferentiated,146.073,-41.9899
Unnamed,deposit,TAS,Lead,146.8344,-41.2076
Chromite Spur,deposit,TAS,Chromium,144.8725,-41.0539
Section Kl,deposit,TAS,Chromium,144.8509,-41.058
Unnamed,deposit,TAS,Coal - undifferentiated,146.0582,-41.847
Snake Peak,deposit,TAS,Iron,145.5889,-42.2334
Pearls Find,deposit,TAS,Zinc,145.6154,-42.2421
Sapling Road,deposit,TAS,Chromium,144.8708,-41.0691
Unnamed,deposit,TAS,Iron,146.0319,-41.1745
Pilbeam Road,deposit,TAS,Unspecified/Unknown,145.9231,-41.3154
Housetop,deposit,TAS,Iron,145.9174,-41.2972
Unnamed,deposit,TAS,Zinc,145.9833,-41.4466
Forth River,deposit,TAS,Unspecified/Unknown,146.259,-41.1756
Unnamed,deposit,TAS,Graphite,145.5456,-40.9085
MUNRO,deposit,SA,Limestone,140.8396,-36.9769
Rosedale,deposit,TAS,Bauxite,147.4449,-41.8896
Meadowbank,deposit,TAS,Bauxite,147.4535,-41.9004
Unnamed,deposit,TAS,Lead,147.7848,-41.7646
Nickel Prospect,deposit,TAS,Nickel,145.3124,-41.9163
Unnamed,deposit,TAS,Coal - undifferentiated,147.6125,-41.7663
Bonney Plains,deposit,TAS,Coal - undifferentiated,147.6569,-41.7562
Unnamed,deposit,TAS,Coal - undifferentiated,147.6308,-41.7951
Unnamed,deposit,TAS,Coal - undifferentiated,147.6848,-41.7722
Andersons Creek A,deposit,TAS,Asbestos,146.7712,-41.1967
Unnamed,deposit,TAS,Unspecified/Unknown,146.0825,-41.2198
DDH8,deposit,TAS,Tin,146.0585,-41.1768
Pennys Lagoon,deposit,TAS,Coal - brown,144.078,-39.6556
Unnamed,deposit,TAS,Tin,145.1202,-41.8553
Unnamed,deposit,TAS,Arsenic,145.1688,-41.8786
Myalla Pit 1,deposit,TAS,Bauxite,145.5814,-40.9696
Myalla Locality 3,deposit,TAS,Bauxite,145.5809,-40.9774
Unnamed,deposit,TAS,Coal - brown,145.6581,-40.9837
Myalla Pit 2,deposit,TAS,Bauxite,145.5823,-40.9711
L23,deposit,TAS,Arsenic,145.1196,-41.5932
CYCLONE,deposit,SA,Heavy minerals,128.7335,-28.8283
ZEPHYR,deposit,SA,Heavy minerals,128.7541,-28.7833
Ocean Beach,deposit,TAS,Industrial mineral,145.2621,-42.1538
Unnamed,deposit,TAS,Lead,145.324,-41.8723
Unnamed,deposit,TAS,Tin,145.2872,-41.8912
Unnamed,deposit,TAS,Iron,145.293,-41.8928
Aberfoyle Hill Clay Prospect,deposit,TAS,Clay,147.9312,-40.9184
Hoopers Well,deposit,TAS,Coal - brown,144.091,-39.8469
Arthur River talc,deposit,TAS,Talc,145.5102,-41.2161
H.Law and Co.,deposit,TAS,Iron,146.0649,-41.1329
N Track Alluvial,deposit,TAS,Tin,144.0076,-39.7215
Livingstons,deposit,TAS,Peat,144.0725,-39.869
Andersons Creek,deposit,TAS,Osmium,146.7688,-41.1967
Bluff River,deposit,TAS,Tin,145.8463,-41.7694
Clayton River A,deposit,TAS,Titanium,146.2153,-41.1657
Prospect 7,deposit,TAS,Titanium,146.2034,-41.1824
Prospect 6,deposit,TAS,Titanium,146.2024,-41.1869
Prospect 4,deposit,TAS,Titanium,146.1979,-41.2051
Prospect 2,deposit,TAS,Rutile,146.1886,-41.2085
Prospect 1,deposit,TAS,Titanium,146.1898,-41.2118
Prospect 5,deposit,TAS,Titanium,146.1914,-41.2118
SHANNON CREEK,DEPOSIT,SA,Dolomite,136.441,-33.663
HALLS,MINE,SA,Barite,138.7676,-31.4192
WEAVER WELL,MINE,SA,Barite,139.2895,-31.4305
WYACCA CREEK,MINE,SA,Barite,138.7403,-31.7938
MOUNT PAINTER NO.1,MINE,SA,Uranium,139.3305,-30.2201
MOUNT PAINTER NO.2,MINE,SA,Uranium,139.3307,-30.2206
MOUNT PAINTER NO.3,MINE,SA,"Uranium, Uranium oxide",139.3279,-30.2203
MOUNT PAINTER NO.4,MINE,SA,Uranium,139.3415,-30.2278
MOUNT PAINTER NO.6,MINE,SA,"Uranium, Radium, Uranium oxide",139.3381,-30.2356
MOUNT PAINTER NO.7,MINE,SA,Uranium,139.3306,-30.2347
MOUNT PLAYFAIR,MINE,SA,"Magnesite, Magnesia (magnesium oxide)",138.2124,-30.398
MYRTLE SPRINGS,MINE,SA,"Magnesite, Dolomite",138.2258,-30.4168
LEIGH CREEK LOBE D,MINE,SA,Coal - undifferentiated,138.3918,-30.4016
WESTFIELD,DEPOSIT,SA,Coal - undifferentiated,134.0852,-28.2445
WINTINNA,DEPOSIT,SA,Coal - undifferentiated,134.7471,-27.9351
FIRST HILL,MINE,SA,Manganese,138.8223,-31.093
GOOD FRIDAY CAVE,MINE,SA,Phosphate,138.7952,-31.9898
WINDANNA,MINE,SA,Manganese,138.4388,-31.9072
HOWARDS,MINE,SA,Barite,138.7756,-31.4271
DUNBAR,MINE,SA,Barite,138.7416,-31.4058
KATHLEEN PATRICIA MORION,MINE,SA,Quartz - undifferentiated,136.797,-33.4769
POOTITNIE,MINE,SA,"Magnesite, Asbestos",136.6211,-33.5872
LITTLE WELL,MINE,SA,Lead,140.2888,-32.4963
MIDDLE CAMP,DEPOSIT,SA,Granite,136.7931,-33.6722
MILTALIE,MINE,SA,Asbestos,136.8419,-33.6035
MILTALIE,MINE,SA,Jade,136.8422,-33.6064
MINBRIE WEST,MINE,SA,"Talc, Asbestos, Marble, Opal, Uranium",136.8512,-33.6086
THREE MILE LAKE,MINE,SA,Gypsum,137.063,-33.1217
MOUNT LAURA EAST,MINE,SA,Barite,137.542,-33.0028
ROBE,DEPOSIT,SA,Peat,139.8066,-37.0776
SOUTHEND,DEPOSIT,SA,"Limesand, Limestone",140.1146,-37.5768
BLACKFELLOWS CAVES,MINE,SA,Silica,140.4651,-37.9472
WENHAMS NO.1,MINE,SA,Monazite,138.475,-35.4177
WENHAMS NO.2,MINE,SA,Monazite,138.4832,-35.4164
WILD DOG,MINE,SA,"Uranium, Uranium oxide",138.4388,-35.4361
MOUNT DAVIES NO.5,MINE,SA,"Chrysoprase, Agate",129.2445,-26.1742
MOTHER LODE,MINE,SA,Feldspar,139.9058,-32.2177
KORALEIGH,DEPOSIT,SA,Hematite,138.8686,-34.7238
STEVIES,MINE,SA,Phosphate,137.8782,-34.4543
SURVEYOR POINT,DEPOSIT,SA,Clay,137.8632,-34.7562
LITTLE SAHARA,MINE,SA,"Limesand, Sand - undifferentiated",137.2547,-35.9531
WARDANG ISLAND,MINE,SA,"Limesand, Limestone",137.3431,-34.5094
WEAVERS LAGOON,DEPOSIT,SA,Salt,137.662,-34.9452
KEPPOCH MAIN LAKE,MINE,SA,"Salt, Limesand",140.5533,-36.7742
KINGSTON LIGNITE,DEPOSIT,SA,Coal - undifferentiated,139.9939,-36.6506
ABBOTTS,MINE,SA,Barite,138.5191,-35.1919
ALDGATE BARYTES,MINE,SA,Barite,138.7488,-35.0228
BIRDWOOD PTY,MINE,SA,Barite,138.499,-35.1925
WONOKA,MINE,SA,Clay,138.5981,-35.0203
WHITE LAKES NO.2,MINE,SA,Gypsum,135.5285,-34.1703
NUTT BROTHERS,DEPOSIT,SA,Gravel,137.6213,-32.558
ARNOLD BANK,MINE,SA,Gypsum,137.7501,-32.3298
THREE HORSEMEN,MINE,SA,Feldspar,139.8982,-32.2163
BOWERING,MINE,SA,Barite,138.7886,-31.4009
MATHEWS,MINE,SA,Barite,138.8969,-31.3186
VINCENT,MINE,SA,Barite,138.7679,-31.4169
MINNITINNI CREEK,MINE,SA,Clay,138.9812,-31.36
SMITHS GOMERSAL,MINE,SA,"Talc, Asbestos, Vermiculite",138.9033,-34.5698
EVERARD NO.2,DEPOSIT,SA,Gypsum,138.324,-33.9205
EVERARD NO.3,MINE,SA,Gypsum,138.32,-33.9357
EVERARD NO.5,DEPOSIT,SA,Gypsum,138.3234,-33.9261
EVERARD NO.6,DEPOSIT,SA,Gypsum,138.302,-33.9227
BLUFF,MINE,SA,Lead,139.2982,-29.8505
GEORGEFF,MINE,SA,"Kaolin, Shale",138.8955,-34.9305
L.C. AND C.W. SMITH,MINE,SA,Talc,138.9057,-34.666
B. BRAZZALE,MINE,SA,Mica,138.9202,-34.7146
AROONA,MINE,SA,"Zinc, Lead",138.367,-30.6014
BELTANA,MINE,SA,"Zinc, Lead",138.4344,-30.6752
MOUNT SERLE NO.2,MINE,SA,Barite,138.8887,-30.5793
MOUNT SERLE NO.4,DEPOSIT,SA,"Barite, Manganese",138.8709,-30.5815
GLENSHERA,MINE,SA,"Silica sand, Sand - undifferentiated",138.5845,-35.3478
PERPONDA,DEPOSIT,SA,Heavy minerals,139.9477,-35.0536
GREAT BELTA,MINE,SA,Barite,138.4058,-30.8052
BELTANA NO.2,MINE,SA,Barite,138.4762,-30.7801
MONTEFIORE HILL,MINE,SA,Coal - undifferentiated,138.5831,-34.9123
BMS SYNDICATE,MINE,SA,Mica,138.9414,-34.7342
BMS,MINE,SA,"Mica, Beryl - undifferentiated",138.9088,-34.6874
BURDUNGA,DEPOSIT,SA,Coal - undifferentiated,132.0883,-30.1022
J.L. MCNAMARA,MINE,SA,"Salt, Gypsum",138.2221,-33.9235
BATTEN,DEPOSIT,SA,Kaolin,138.3787,-33.3767
TOOTHS NOB,MINE,SA,Barite,139.2232,-31.4252
MCRAE NO.1,MINE,SA,Barite,138.7981,-31.3986
MORALANA SOUTH,MINE,SA,"Barite, Celestite",138.5071,-31.6066
CAREY HILL NO.1,MINE,SA,Barite,138.7787,-31.1119
CAREY HILL NO.2,MINE,SA,Barite,138.7916,-31.1155
SIBSEY ISLAND,MINE,SA,Phosphate,136.1812,-34.6409
SOUTH LAKE,MINE,SA,Tin,134.9867,-30.8854
CAMEL GAP,MINE,SA,Manganese,138.7093,-30.4861
CAMPBELLS BALD HILL,MINE,SA,Barite,138.9389,-30.5893
STONE HUT WELL,MINE,SA,Manganese,138.3609,-30.4855
LEIGH CREEK LOBE B,MINE,SA,Coal - undifferentiated,138.4128,-30.4729
HAHNDORF,MINE,SA,Tin,138.7949,-35.0196
BUDGENS,MINE,SA,Barite,138.5065,-35.1985
MOUNT FROME,MINE,SA,Barite,139.1794,-31.1033
MOUNT HAYWARD,MINE,SA,Barite,138.5776,-31.2694
MOUNT NEVILLE,MINE,SA,Barite,138.9073,-31.6491
NICHOLLS,MINE,SA,Barite,138.8348,-31.3424
ORAPARINNA,MINE,SA,Asbestos,138.7223,-31.3092
ORAPARINNA,MINE,SA,Barite,138.8607,-31.3224
ORAPARINNA CAVE,MINE,SA,Phosphate,138.6946,-31.3476
TICKERA NO.2,MINE,SA,Gypsum,137.8175,-33.6921
TICKERA NO.3,MINE,SA,Gypsum,137.8312,-33.6661
TICKERA NO.5,MINE,SA,Gypsum,137.8377,-33.6526
TICKERA NO.4,MINE,SA,Gypsum,137.8326,-33.6631
ULGERA GAP,DEPOSIT,SA,Marble,136.7711,-33.5991
CUMBRUTLA CREEK,MINE,SA,Quartzite,136.5802,-33.5949
KATARAPKO,DEPOSIT,SA,Calcite,140.4911,-34.3164
CAMEL FLAT,DEPOSIT,SA,"Magnesite, Magnesia (magnesium oxide)",138.3703,-30.5649
DEPOT SPRINGS EAST,MINE,SA,Manganese,138.7523,-30.4457
EAST PAINTER NO.1,MINE,SA,Uranium,139.3826,-30.227
EAST PAINTER NO.2,MINE,SA,Uranium,139.3845,-30.2267
SPRINGS,MINE,SA,"Salt, Gypsum",137.5431,-35.6639
CHADEE CURRA,MINE,SA,Gypsum,134.7973,-33.152
J. YOUNG,MINE,SA,Salt,137.5793,-35.113
UMBUM CREEK NO.1,DEPOSIT,SA,"Dolomite, Magnesium",136.7981,-28.1288
UMBUM CREEK NO.2,DEPOSIT,SA,Dolomite,136.8119,-28.1543
UMBUM CREEK NO.3,DEPOSIT,SA,Dolomite,136.8191,-28.1335
UMBUM CREEK NO.4,DEPOSIT,SA,Dolomite,136.847,-28.1249
UMBUM CREEK NO.5,DEPOSIT,SA,Dolomite,136.8605,-28.0972
BABBAGE,DEPOSIT,SA,"Dolomite, Magnesium",137.2433,-28.9295
CAMPBELL AND CARVER,MINE,SA,Limestone,135.8435,-34.8165
CARROW,DEPOSIT,SA,Iron,136.3197,-34.0653
RIECKS,DEPOSIT,SA,"Clay, Kaolin",138.9713,-30.0439
FITTON TALC 1,MINE,SA,Talc,139.4568,-29.8953
FITTON TALC 15,MINE,SA,Talc,139.4084,-29.9228
FITTON TALC 24,MINE,SA,Talc,139.4948,-29.9665
FITTON TALC 4,MINE,SA,Talc,139.4465,-29.8963
FITTON TALC 6,MINE,SA,Talc,139.4452,-29.9103
FITTON TALC 6E,MINE,SA,Talc,139.4503,-29.9098
FITTON TALC 7,MINE,SA,Talc,139.4233,-29.9161
FITTON TALC 9,MINE,SA,Talc,139.4211,-29.9151
FITTON TALC 5,MINE,SA,Talc,139.4401,-29.9139
LESLIE,MINE,SA,"Talc, Uranium",139.4743,-29.9308
LEWIS,MINE,SA,Talc,139.4372,-29.9033
MOUNT FREELING NE,MINE,SA,Lead,139.2685,-29.8978
COLEMAN,MINE,SA,Barite,138.494,-35.2131
COROMANDEL,MINE,SA,Lead,138.6213,-35.0583
CRYSTAL,MINE,SA,Barite,138.732,-35.0989
ECLIPSE,MINE,SA,"Clay, Ochre",138.4692,-35.2191
ELLIOTTS,MINE,SA,Barite,138.4965,-35.2068
BIG CUT,MINE,SA,Manganese,137.1937,-31.5841
WALLAROO SOUTH,MINE,SA,Kaolin,137.6238,-33.9585
WALLAROO FLUX,MINE,SA,Limestone,137.6049,-33.9365
MOUNT DAVIES NO.6,MINE,SA,"Chrysoprase, Agate, Nickel",129.2345,-26.1774
MUTOOROO,MINE,SA,"Barite, Fluorite",140.9331,-32.5084
LEIGH CREEK LOBE C,MINE,SA,"Coal - undifferentiated, Shale",138.4002,-30.4316
WESTERN LODE,MINE,SA,Barite,138.8563,-31.3209
BELSEN,MINE,SA,Barite,138.8657,-31.3161
MCRAE NO.2,MINE,SA,Barite,138.7984,-31.3929
TOM HILL,MINE,SA,Barite,138.7366,-31.3958
MOUNT SERLE NO.1,MINE,SA,Barite,138.8885,-30.5827
MOUNT SERLE NO.6,DEPOSIT,SA,"Barite, Manganese",138.8755,-30.5836
MOUNT SERLE NO.5,DEPOSIT,SA,Barite,138.8608,-30.5776
MOUNT SERLE NO.8,MINE,SA,Barite,138.8579,-30.5605
HANDYSIDE,MINE,SA,Silica sand,137.5373,-32.6443
FALSE BAY EAST,MINE,SA,"Silica sand, Sand - undifferentiated",137.6704,-32.9445
GREEN,MINE,SA,Salt,135.5286,-34.1728
ALDENHOVEN,MINE,SA,Salt,137.6052,-34.8283
A.P. ANDERSON,MINE,SA,Salt,137.6989,-34.8866
J.A. ANDERSON,MINE,SA,Salt,137.6587,-34.9602
FITTON TALC 17,MINE,SA,Talc,139.4667,-29.9317
NEW LAKE,MINE,SA,"Gypsum, Salt",137.8259,-35.8211
JACKLING,MINE,SA,Calcite,138.8935,-35.2704
MORONEYS,MINE,SA,Kaolin,138.8945,-34.9321
