DEPOSIT,LATITUDE,LONGITUDE,CMMI_DEPOSIT_ENVIRONMENT,ASSIGNED_AGE_MA,ORE_TONNAGE_MT,CU_PERCENT,MO_PERCENT,AU_GT,AG_GT
Kingswood,-32.3727,148.0383,Magmatic hydrothermal,436.5, , , , , 
Kitticoola,-34.8737,139.1522,Magmatic hydrothermal,490, , , , , 
Mag H1,-34.3099,147.4415,Magmatic hydrothermal,436.4, , , , , 
Mannersley,-24.04941,150.8145,Magmatic hydrothermal,242.5, , , , , 
Monza,-34.2347,147.40505,Magmatic hydrothermal,436.4, , , , , 
Moonmera,-23.5756,150.3928,Magmatic hydrothermal,251.5, , , , , 
Moorilda,-33.60354,149.36474,Magmatic hydrothermal,436.5,73.2,0.07, ,0.94, 
Mount Cannindah,-24.6712,151.2764,Magmatic hydrothermal,242.5,17.466,0.652, ,0.163,6.745
Mount Darcy,-18.24451,143.2527,Magmatic hydrothermal,310, , , , , 
Mount Leslie,-20.9369,148.16,Magmatic hydrothermal,125,20,0.2, , , 
Mount Turner,-18.25506,143.40547,Magmatic hydrothermal,310, , , , , 
Mount Vista,-20.56697,147.8804,Magmatic hydrothermal,125, , , , , 
Mt. Leslie,-20.34194,140.16889,Magmatic hydrothermal, , , , , , 
Mt. Poole,-29.83944,152.37139,Magmatic hydrothermal, , , , , , 
Mt. Robin,-20.57861,146.97778,Magmatic hydrothermal,285, , , , , 
Netley Hill,-32.80685,140.04315,Magmatic hydrothermal,502, , , , , 
Peak Hill,-32.75,148.21667,Magmatic hydrothermal, ,11.27,0.11, ,1.29, 
Riverhead,-24.04083,150.73973,Magmatic hydrothermal,235, , , , , 
Rosevale,-34.3004,147.4002,Magmatic hydrothermal,436.4, , , , , 
Ruddygore,-17.1292,144.54892,Magmatic hydrothermal,285,10,0.4, , , 
Struck Oil,-23.60545,150.46152,Magmatic hydrothermal,244.45,100,0.2, , , 
Sunday Creek,-37.51922,148.48857,Magmatic hydrothermal,406.25, , , , , 
Tartana project,-16.93306,144.26611,Magmatic hydrothermal, ,0.176,1.5, , , 
Titov,-19.99371,146.69196,Magmatic hydrothermal,395, , , , , 
Town Creek,-20.42472,146.77861,Magmatic hydrothermal,285, , , , , 
Veedas,-32.92127,147.99828,Magmatic hydrothermal,439.2, , , , , 
Waitara,-21.80807,148.81505,Magmatic hydrothermal,122.75, , , , , 
Western Tharsis,-42.0,145.5833,Magmatic hydrothermal, ,12.4,1.3, ,0.3, 
Woolshed,-34.3011,147.4178,Magmatic hydrothermal,436.4, , , , , 
